heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
710,36,sensor3-sensor4,finger→wrist,44.99768513474578,195.172959503506,195.21795718864075,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
711,36,sensor3-sensor4,finger→wrist,44.9976851347742,195.97391829890472,196.0189159840395,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
712,36,sensor3-sensor4,finger→wrist,17.999074053903996,196.7838766313304,196.8018757053843,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
713,36,sensor3-sensor4,finger→wrist,44.9976851347742,197.65683172294473,197.7018294080795,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
714,36,sensor3-sensor4,finger→wrist,17.999074053903996,198.52978681455906,198.54778588861296,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
715,36,sensor3-sensor4,finger→wrist,44.9976851347742,199.33974514698474,199.3847428321195,179.8107497984991,199.80772107238622,sensor3,811.9147535184874,
716,37,sensor3-sensor4,finger→wrist,44.99768513474578,185.45345951439793,185.49845719953268,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
717,37,sensor3-sensor4,finger→wrist,53.99722216171199,186.2634178468236,186.3174150689853,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
718,37,sensor3-sensor4,finger→wrist,26.998611080841783,187.06437664222233,187.09137525330317,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
719,37,sensor3-sensor4,finger→wrist,44.9976851347742,187.82033775248627,187.86533543762104,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
720,37,sensor3-sensor4,finger→wrist,35.99814810780799,188.6392956219389,188.67529377004672,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
721,37,sensor3-sensor4,finger→wrist,44.99768513474578,189.44025441733763,189.48525210247237,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
722,37,sensor3-sensor4,finger→wrist,26.998611080841783,190.2322136757094,190.25921228679024,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
723,37,sensor3-sensor4,finger→wrist,35.99814810780799,191.05117154516202,191.08716969326983,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
724,37,sensor3-sensor4,finger→wrist,26.998611080841783,191.88812848866854,191.91512709974938,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
725,37,sensor3-sensor4,finger→wrist,53.99722216171199,192.70708635812116,192.76108358028287,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
726,37,sensor3-sensor4,finger→wrist,26.998611080841783,193.49904561649294,193.52604422757378,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
727,37,sensor3-sensor4,finger→wrist,44.99768513474578,194.30900394891862,194.35400163405336,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
728,37,sensor3-sensor4,finger→wrist,44.9976851347742,195.17295950350598,195.21795718864075,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
729,37,sensor3-sensor4,finger→wrist,44.99768513474578,195.97391829890472,196.01891598403947,184.8054928484574,204.80246412234453,sensor3,827.1748380424493,
