heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor4_time_s,sensor5_time_s
116,10,sensor2-sensor4,nose→wrist,44.99901553010943,61.39665678927584,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,61.44165580480595,
117,10,sensor2-sensor4,nose→wrist,71.99842484816799,62.22463867502978,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,62.29663709987795,
118,10,sensor2-sensor4,nose→wrist,71.99842484817509,63.00762154525361,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,63.07961997010179,
119,10,sensor2-sensor4,nose→wrist,62.998621742153205,63.81760382479551,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,63.880602446537665,
120,10,sensor2-sensor4,nose→wrist,71.99842484817509,64.64558571054945,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,64.71758413539763,
121,10,sensor2-sensor4,nose→wrist,71.99842484816088,65.4735675963034,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,65.54556602115156,
122,10,sensor2-sensor4,nose→wrist,44.99901553009522,66.26555026963325,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,66.31054928516335,
123,10,sensor2-sensor4,nose→wrist,26.99940931805145,67.08453235228117,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,67.11153176159922,
124,10,sensor2-sensor4,nose→wrist,80.99822795418277,67.92151404114114,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,68.00251226909532,
125,10,sensor2-sensor4,nose→wrist,44.99901553010943,68.74949592689507,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,68.79449494242517,
126,10,sensor2-sensor4,nose→wrist,26.99940931806566,69.55047840333094,,49.94890723841702,69.94646973999588,sensor2,784.8578292042556,69.57747781264901,
127,11,sensor2-sensor4,nose→wrist,44.99901553010233,55.3577889051357,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,55.4027879206658,
128,11,sensor2-sensor4,nose→wrist,53.99881863612421,56.13177197225351,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,56.185770790889634,
129,11,sensor2-sensor4,nose→wrist,71.99842484816799,56.842756417629175,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,56.91475484247734,
130,11,sensor2-sensor4,nose→wrist,71.99842484816799,57.580740272322906,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,57.652738697171074,
131,11,sensor2-sensor4,nose→wrist,80.99822795418277,58.33672373322868,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,58.41772196118286,
132,11,sensor2-sensor4,nose→wrist,71.99842484816799,59.10170699724047,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,59.17370542208864,
133,11,sensor2-sensor4,nose→wrist,53.99881863613132,59.848690655040215,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,59.90268947367635,
134,11,sensor2-sensor4,nose→wrist,62.9986217421461,60.59567431283997,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,60.658672934582114,
135,11,sensor2-sensor4,nose→wrist,44.99901553010943,61.396656789275845,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,61.441655804805954,
136,11,sensor2-sensor4,nose→wrist,71.99842484816799,62.22463867502979,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,62.296637099877955,
137,11,sensor2-sensor4,nose→wrist,71.99842484816799,63.00762154525362,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,63.07961997010179,
138,11,sensor2-sensor4,nose→wrist,62.9986217421461,63.81760382479552,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,63.880602446537665,
139,11,sensor2-sensor4,nose→wrist,71.99842484817509,64.64558571054945,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,64.71758413539763,
140,11,sensor2-sensor4,nose→wrist,71.99842484817509,65.4735675963034,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,65.54556602115157,
141,11,sensor2-sensor4,nose→wrist,44.99901553010943,66.26555026963325,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,66.31054928516336,
142,11,sensor2-sensor4,nose→wrist,26.99940931806566,67.08453235228117,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,67.11153176159924,
143,11,sensor2-sensor4,nose→wrist,80.99822795418277,67.92151404114114,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,68.00251226909532,
144,11,sensor2-sensor4,nose→wrist,35.999212424073335,68.7584957300011,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,68.79449494242517,
145,11,sensor2-sensor4,nose→wrist,26.99940931806566,69.55047840333094,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,69.57747781264901,
146,11,sensor2-sensor4,nose→wrist,62.998621742138994,70.36046068287285,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,70.423459304615,
147,11,sensor2-sensor4,nose→wrist,26.99940931806566,71.21544197794485,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,71.24244138726291,
148,11,sensor2-sensor4,nose→wrist,8.999803106021886,72.06142346991084,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,72.07042327301686,
149,11,sensor2-sensor4,nose→wrist,62.998621742153205,72.8174069308166,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,72.88040555255876,
150,11,sensor2-sensor4,nose→wrist,62.998621742153205,73.63638901346452,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,73.69938763520668,
151,11,sensor2-sensor4,nose→wrist,53.99881863613132,74.54536912717265,,54.94379796225873,74.94136046383758,sensor2,799.4825092515397,74.59936794580878,
152,13,sensor2-sensor4,nose→wrist,71.99842484816088,65.4735675963034,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,65.54556602115156,
153,13,sensor2-sensor4,nose→wrist,44.99901553009522,66.26555026963325,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,66.31054928516335,
154,13,sensor2-sensor4,nose→wrist,26.99940931805145,67.08453235228117,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,67.11153176159922,
155,13,sensor2-sensor4,nose→wrist,80.99822795419698,67.92151404114112,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,68.00251226909532,
156,13,sensor2-sensor4,nose→wrist,35.999212424087546,68.75849573000109,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,68.79449494242517,
157,13,sensor2-sensor4,nose→wrist,26.99940931806566,69.55047840333094,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,69.57747781264901,
158,13,sensor2-sensor4,nose→wrist,62.998621742153205,70.36046068287284,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,70.423459304615,
159,13,sensor2-sensor4,nose→wrist,26.99940931806566,71.21544197794485,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,71.24244138726291,
160,13,sensor2-sensor4,nose→wrist,8.999803106021886,72.06142346991082,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,72.07042327301684,
161,13,sensor2-sensor4,nose→wrist,62.998621742138994,72.8174069308166,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,72.88040555255874,
162,13,sensor2-sensor4,nose→wrist,53.99881863613132,73.64538881657053,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,73.69938763520666,
163,13,sensor2-sensor4,nose→wrist,71.99842484817509,74.5273695209606,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,74.59936794580878,
164,13,sensor2-sensor4,nose→wrist,62.998621742153205,75.41835002845669,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,75.48134865019884,
166,13,sensor2-sensor4,nose→wrist,89.99803106021886,76.99331557201037,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,77.0833136030706,
167,13,sensor2-sensor4,nose→wrist,62.998621742153205,77.84829686708238,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,77.91129548882454,
168,13,sensor2-sensor4,nose→wrist,71.99842484816088,78.67627875283632,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,78.74827717768449,
169,13,sensor2-sensor4,nose→wrist,71.99842484817509,79.46826142616618,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,79.54025985101435,
170,13,sensor2-sensor4,nose→wrist,44.99901553010943,80.26024409949603,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,80.30524311502614,
171,13,sensor2-sensor4,nose→wrist,35.999212424087546,81.10622559146202,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,81.14222480388611,
172,13,sensor2-sensor4,nose→wrist,62.998621742153205,81.952207083428,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,82.01520570517015,
173,13,sensor2-sensor4,nose→wrist,53.99881863613132,82.75318955986387,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,82.8071883785,
174,13,sensor2-sensor4,nose→wrist,44.99901553010943,83.59017124872383,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,83.63517026425394,
175,13,sensor2-sensor4,nose→wrist,44.99901553009522,84.46315215000789,,64.93357940994213,84.93114191152098,sensor2,825.63411103063,84.50815116553798,
178,15,sensor2-sensor4,nose→wrist,89.99803106020465,76.99331557201039,,74.92336085762554,94.92092335920438,sensor3,817.8081952862638,77.0833136030706,
